customer_id,churn,n_orders_future,recency,frequency,monetary,avg_basket,std_basket,n_distinct_products,tenure_days,avg_interpurchase_days,n_cancellations,cancellation_rate
16175.0,0,2,13,5,1265.83,253.17,56.84,45,372,89.75,0,0.0
17865.0,0,13,13,33,20009.73,606.36,399.8,326,547,16.6875,12,0.3636
15189.0,0,22,6,20,6220.44,311.02,163.73,54,318,16.42105263157895,9,0.45
14505.0,0,3,13,16,9288.96,580.56,355.34,737,539,35.06666666666667,7,0.4375
13658.0,0,2,13,5,4319.63,863.93,116.04,119,481,117.0,3,0.6
12951.0,0,1,13,13,2774.53,213.43,80.75,101,507,41.166666666666664,4,0.3077
18109.0,0,12,3,23,4325.42,188.06,115.51,183,335,15.090909090909092,4,0.1739
17926.0,0,1,12,4,849.93,212.48,49.69,21,388,125.33333333333333,0,0.0
17381.0,0,12,12,25,33544.89,1341.8,1796.39,49,357,14.375,0,0.0
16832.0,0,1,12,4,355.11,88.78,24.88,19,267,85.0,0,0.0
16931.0,0,11,3,11,2532.51,230.23,51.79,277,206,20.3,0,0.0
16801.0,0,1,1,3,1478.88,492.96,270.04,70,82,40.5,1,0.3333
15716.0,0,1,10,10,2840.44,284.04,287.24,175,541,59.0,0,0.0
16341.0,0,3,10,4,2676.57,669.14,468.43,81,418,136.0,2,0.5
13549.0,0,4,1,4,600.15,150.04,64.4,34,196,65.0,1,0.25
14711.0,0,5,10,5,1443.84,288.77,137.36,115,71,15.25,1,0.2
13758.0,0,1,10,13,8577.95,659.84,273.58,199,547,44.75,4,0.3077
16818.0,0,8,10,2,726.24,363.12,270.54,45,14,4.0,2,1.0
15288.0,0,2,9,8,3200.61,400.08,267.73,114,474,66.42857142857143,0,0.0
13479.0,1,0,9,4,851.37,212.84,116.6,45,286,92.33333333333333,3,0.75
12989.0,0,6,9,25,9955.58,398.22,241.21,23,538,22.041666666666668,4,0.16
16523.0,0,11,8,15,5333.46,355.56,215.17,107,493,34.642857142857146,5,0.3333
14258.0,0,2,8,22,26989.18,1226.78,738.23,87,544,25.523809523809526,6,0.2727
15987.0,0,3,8,5,746.93,149.39,141.63,50,188,45.0,0,0.0
16992.0,0,2,8,10,4533.34,453.33,462.24,184,475,51.888888888888886,2,0.2
17365.0,0,4,8,11,5320.61,483.69,390.24,311,485,47.7,1,0.0909
18202.0,1,0,8,3,1396.99,465.66,292.13,55,120,56.0,0,0.0
17272.0,0,2,8,2,1409.44,704.72,66.52,59,71,63.0,1,0.5
16327.0,0,2,8,14,9356.76,668.34,319.4,270,534,40.46153846153846,4,0.2857
14289.0,0,2,8,3,594.22,198.07,108.12,30,98,45.0,0,0.0
16091.0,0,1,7,1,157.25,157.25,,10,7,,0,0.0
12747.0,0,4,7,21,7171.93,341.52,147.31,79,541,26.7,6,0.2857
13728.0,0,3,7,13,2332.96,179.46,30.75,65,539,44.333333333333336,0,0.0
18229.0,0,11,7,16,6385.51,399.09,150.05,41,545,35.86666666666667,0,0.0
15882.0,1,0,7,8,1495.98,187.0,154.34,49,538,75.85714285714286,2,0.25
12839.0,0,8,7,16,5876.2,367.26,158.67,122,541,35.6,4,0.25
18226.0,0,6,7,20,8863.75,443.19,125.17,249,453,23.473684210526315,10,0.5
14522.0,0,3,7,5,1062.71,212.54,68.61,27,493,121.5,0,0.0
16092.0,0,1,6,5,1363.81,272.76,60.36,55,388,95.5,2,0.4
15249.0,0,8,5,10,5418.91,541.89,205.72,214,432,47.44444444444444,2,0.2
15104.0,1,0,5,2,1027.44,513.72,196.69,66,91,86.0,0,0.0
17152.0,1,0,3,4,2016.5,504.13,437.07,9,234,77.0,1,0.25
16746.0,0,8,3,32,14257.92,445.56,175.67,314,544,17.451612903225808,3,0.0938
16168.0,0,17,1,48,8100.68,168.76,108.94,112,545,11.574468085106384,6,0.125
16013.0,0,23,1,59,32734.46,554.82,378.47,35,540,9.293103448275861,5,0.0847
13070.0,1,0,1,4,751.7,187.93,39.38,12,541,180.0,1,0.25
18231.0,1,0,1,28,6880.97,245.75,134.77,218,507,18.74074074074074,2,0.0714
16023.0,0,1,1,2,500.69,250.35,102.54,59,75,74.0,0,0.0
17238.0,0,7,15,23,5402.05,234.87,147.83,397,547,24.181818181818183,0,0.0
14040.0,0,7,24,28,10480.03,374.29,218.17,298,547,19.37037037037037,4,0.1429
14341.0,0,4,24,14,2988.19,213.44,108.23,126,547,40.23076923076923,2,0.1429
13097.0,0,5,42,23,10383.06,451.44,221.13,338,547,22.954545454545453,9,0.3913
16887.0,0,1,209,2,465.84,232.92,18.53,65,547,338.0,0,0.0
12836.0,0,2,28,13,5634.16,433.4,227.06,243,547,43.25,2,0.1538
14865.0,1,0,181,3,114.72,38.24,33.2,3,547,183.0,0,0.0
17246.0,1,0,355,2,38.92,19.46,5.69,6,547,192.0,0,0.0
14108.0,0,2,540,2,447.05,223.53,40.69,18,547,7.0,0,0.0
13648.0,1,0,209,8,1764.02,220.5,165.44,95,547,48.285714285714285,3,0.375
16202.0,1,0,169,9,2501.99,278.0,146.4,105,546,47.125,2,0.2222
12980.0,0,3,19,18,13437.24,746.51,290.15,7,546,31.0,3,0.1667
13269.0,0,8,27,18,5593.7,310.76,207.22,185,546,30.529411764705884,1,0.0556
14653.0,0,3,147,6,2011.8,335.3,174.91,150,546,79.8,0,0.0
17019.0,1,0,70,10,3735.52,373.55,165.73,308,546,52.888888888888886,2,0.2
17476.0,1,0,204,2,489.86,244.93,21.82,29,546,342.0,2,1.0
