customer_id,churn,churn_label,churn_probability,churn_prediction,prediction_label,risk_level,recency,frequency,monetary,avg_basket,n_distinct_products,tenure_days,n_cancellations,cancellation_rate,segment_rfm,kmeans_cluster
16175.0,0,Actif,0.24234138254420276,0,Va rester,3 - Risque faible,13,5,1265.83,253.17,45,372,0,0.0,Champions,0
17865.0,0,Actif,0.02682062652896457,0,Va rester,3 - Risque faible,13,33,20009.73,606.36,326,547,12,0.3636,Champions,3
15189.0,0,Actif,0.12966781529762042,0,Va rester,3 - Risque faible,6,20,6220.44,311.02,54,318,9,0.45,Champions,3
14505.0,0,Actif,0.012615792052022531,0,Va rester,3 - Risque faible,13,16,9288.96,580.56,737,539,7,0.4375,Champions,3
13658.0,0,Actif,0.17226478793509017,0,Va rester,3 - Risque faible,13,5,4319.63,863.93,119,481,3,0.6,Champions,3
12951.0,0,Actif,0.1373339183504823,0,Va rester,3 - Risque faible,13,13,2774.53,213.43,101,507,4,0.3077,Champions,3
18109.0,0,Actif,0.07274768708069708,0,Va rester,3 - Risque faible,3,23,4325.42,188.06,183,335,4,0.1739,Champions,3
17926.0,0,Actif,0.2769394294764574,0,Va rester,3 - Risque faible,12,4,849.93,212.48,21,388,0,0.0,Potentiellement Fidèles,2
17381.0,0,Actif,0.10982539129989816,0,Va rester,3 - Risque faible,12,25,33544.89,1341.8,49,357,0,0.0,Champions,3
16832.0,0,Actif,0.28229339291480676,0,Va rester,3 - Risque faible,12,4,355.11,88.78,19,267,0,0.0,Potentiellement Fidèles,0
16931.0,0,Actif,0.08821167800602375,0,Va rester,3 - Risque faible,3,11,2532.51,230.23,277,206,0,0.0,Champions,3
16801.0,0,Actif,0.24150547010141935,0,Va rester,3 - Risque faible,1,3,1478.88,492.96,70,82,1,0.3333,Potentiellement Fidèles,0
15716.0,0,Actif,0.12340785678833963,0,Va rester,3 - Risque faible,10,10,2840.44,284.04,175,541,0,0.0,Champions,3
16341.0,0,Actif,0.22934508256805256,0,Va rester,3 - Risque faible,10,4,2676.57,669.14,81,418,2,0.5,Potentiellement Fidèles,3
13549.0,0,Actif,0.2556916725042525,0,Va rester,3 - Risque faible,1,4,600.15,150.04,34,196,1,0.25,Potentiellement Fidèles,0
14711.0,0,Actif,0.20368362181915067,0,Va rester,3 - Risque faible,10,5,1443.84,288.77,115,71,1,0.2,Champions,0
